,dr_id,question_1,question_2,label,question_1_processed,question_2_processed,len_question_1,len_question_2,text_len_question_1,text_len_question_2,rus_question_1,rus_question_2
10,1,Can Adderall (dextroamphetamine and racemic amphetamine) cause ear pressure and slight headaches at the end of the day?,What are the side effects of Adderall? Can it cause ear problems or headache?,1,adderall dextroamphetamine racemic amphetamine cause ear pressure slight headache end day,side effect adderall cause ear problem headache,119,77,89,47,Может ли Аддералл (декстроамфетамин и гоночный амфетамин) вызывать уши и небольшие головные боли в конце дня?,Что это за побочные эффекты Аддералла?
11,1,Can Adderall (dextroamphetamine and racemic amphetamine) cause ear pressure and slight headaches at the end of the day?,What is the maximum dose of Adderall that anybody can take?,0,adderall dextroamphetamine racemic amphetamine cause ear pressure slight headache end day,maximum dose adderall anybody take,119,59,89,34,Может ли Аддералл (декстроамфетамин и гоночный амфетамин) вызывать уши и небольшие головные боли в конце дня?,"Какова максимальная доза Аддеролла, которую любой может принять?"
12,1,Can coarctation of the aorta cause poor growth in height?,"ECHO done today, PA says there could be a problem. I am waiting for the specialist's appointment tomorrow. What should I ask him?",0,coarctation aorta cause poor growth height,echo do today pa say could problem wait specialist appointment tomorrow ask,57,129,42,75,Может ли сорвет аорту вызвать низкий рост роста?,"Сегодня ECHO закончила, ПА говорит, что может возникнуть проблема."
13,1,Can coarctation of the aorta cause poor growth in height?,"I am 4' 8"". My mom said that I have a birth defect (coarctation of aorta). Are the two related?",1,coarctation aorta cause poor growth height,4 8 mom say birth defect coarctation aorta two related,57,95,42,54,Может ли сорвет аорту вызвать низкий рост роста?,"Мама сказала, что у меня есть рождение дефекта (приравнивание аорты)."
14,1,Can doxycycline treat an ear infection?,What are the side effects of Doxycycline?,0,doxycycline treat ear infection,side effect doxycycline,39,41,31,23,Может ли доксициклин лечить ушную инфекцию?,Каковы побочные эффекты Доксициклина?
15,1,Can doxycycline treat an ear infection?,Which antibiotic is best for an ear infection? I have an old course of Doxycycline. Would it work?,1,doxycycline treat ear infection,antibiotic best ear infection old course doxycycline would work,39,98,31,63,Может ли доксициклин лечить ушную инфекцию?,Какой антибиотик лучше для уха? У меня старый курс доксициклина.
16,1,Can vinegar help drain the sinus? I've been eating balsamic vinegar dressing with my salads and I feel them draining is that normal??,I have had sinus issues for a while now. My mom says vinegar would help with them. Is it true? I sort of tried it today...,1,vinegar help drain sinus eat balsamic vinegar dress salad feel drain normal,sinus issue mom say vinegar would help true sort try today,133,122,75,58,"Я ел бальзамическую уксусную перевязку с салатами, и я чувствую, что они осушивают, это нормально?","У меня уже были проблемы с синусом, мама говорит, что уксус поможет с ними."
17,1,Can vinegar help drain the sinus? I've been eating balsamic vinegar dressing with my salads and I feel them draining is that normal??,Which is the best antibiotic for sinusitis?,0,vinegar help drain sinus eat balsamic vinegar dress salad feel drain normal,best antibiotic sinusitis,133,43,75,25,"Я ел бальзамическую уксусную перевязку с салатами, и я чувствую, что они осушивают, это нормально?",Какой из них лучший антибиотик для синусита?
18,1,Could chiari malformation cause pituitary problems or diabetes insipidus?,Can I take insulin for my diabetes?,0,could chiari malformation cause pituitary problem diabetes insipidus,take insulin diabetes,73,35,68,21,Может ли порча циари вызвать гипофизические проблемы или диабет?,Можно я возьму инсулин для диабета?
19,1,Could chiari malformation cause pituitary problems or diabetes insipidus?,What are the effects of Chiari Malformation? My cousin has diabetes and his recent reports show pitutary issues. Is that related?,1,could chiari malformation cause pituitary problem diabetes insipidus,effect chiari malformation cousin diabetes recent report show pitutary issue relate,73,129,68,83,Может ли порча циари вызвать гипофизические проблемы или диабет?,"У моего двоюродного брата диабет, и его последние отчеты показывают, что у него проблемы с питомниками."
20,1,Could homeopathy for acne help?,My doctor prescribed me Doxycycline for my pimples. How long would it take for it to work?,0,could homeopathy acne help,doctor prescribe doxycycline pimple long would take work,31,90,26,56,Может ли гомеопатия помочь прыщам?,Мой врач прописал мне доксициклин для прыщей.
21,1,Could homeopathy for acne help?,My sister sent me Dr. Reckeweg R53 Acne Vulgaris And Pimples Drop for my zits. Are you aware if this works?,1,could homeopathy acne help,sister send dr reckeweg acne vulgaris pimples drop zit aware work,31,107,26,65,Может ли гомеопатия помочь прыщам?,Моя сестра прислала мне доктора Рекевега Р53 Акне Вульгарис и Пимблс сбрасывают мне прыщи.
22,1,Could this med cause anxiety in a 12 year old?,Can I give some Aspirin to my kid for his headache?,0,could med cause anxiety 12 year old,give aspirin kid headache,46,51,35,25,Может ли это лекарство вызвать тревогу в 12-летнем возрасте?,Могу я дать аспирин своему ребенку от головной боли?
23,1,Could this med cause anxiety in a 12 year old?,What are the side effects of this? Can it cause anxiety in children?,1,could med cause anxiety 12 year old,side effect cause anxiety child,46,68,35,31,Может ли это лекарство вызвать тревогу в 12-летнем возрасте?,Что это за побочные эффекты?
24,1,Could you tell me why my husband has been sweating and vomiting after injecting 30 units of lantis insulin? What should I do?,I was recently detected with high blood sugars. Do you think the doctor will prescribe me insulin? Can I request him to give me pills instead?,0,could tell husband sweat vomit inject 30 unit lantis insulin,recently detect high blood sugar think doctor prescribe insulin request give pill instead,125,142,60,89,"Не могли бы вы сказать мне, почему мой муж потеет и рвота после того, как вколол 30 единиц инсулина?","Меня недавно обнаружили с высоким сахаром в крови, как думаете, доктор выпишет мне инсулин?"
25,1,Could you tell me why my husband has been sweating and vomiting after injecting 30 units of lantis insulin? What should I do?,"My husband is a Type 2 Diabetic on Lantus Insulin and Actrapid (to be taken as per his blood sugar readings. About an hour back, he took his usual 30 units of Lantus and vomited. He was sweating as well. Should we be worried?",1,could tell husband sweat vomit inject 30 unit lantis insulin,husband type 2 diabetic lantus insulin actrapid take blood sugar reading hour back take usual 30 unit lantus vomit sweat well worried,125,225,60,133,"Не могли бы вы сказать мне, почему мой муж потеет и рвота после того, как вколол 30 единиц инсулина?","Мой муж - диабетик второго типа на Лантусе инсулине и Актрапиде (который должен был быть принят в соответствии с его показаниями о сахаре в крови, примерно час назад он взял свои обычные 30 штук Лантуса и вырвал его тоже в поте."
26,1,Does age increase the severity of eds symptoms/problems?,I have a small penis. How to increase it in size?,0,age increase severity eds symptom problem,small penis increase size,56,49,41,25,Усиливает ли возраст симптомы/проблемы eds?,У меня есть маленький пенис.
27,1,Does age increase the severity of eds symptoms/problems?,I think I have ED. Would this worsen as I grow old?,1,age increase severity eds symptom problem,think would worsen grow old,56,51,41,27,Усиливает ли возраст симптомы/проблемы eds?,"Я думаю, что у меня есть приём."
28,1,Does dermonu work for acne scars?,Hey! I have been using Dermonu for about a week now. How soon should I see the results?,1,dermonu work acne scar,hey use dermonu week soon see result,33,87,22,36,Дермону работает на шрамы от прыщей?,"Я уже неделю пользуюсь Дермону, как скоро я увижу результаты?"
29,1,Does dermonu work for acne scars?,I have acne ever since I was a teen. Will these go away on their own?,0,dermonu work acne scar,acne ever since teen go away,33,69,22,28,Дермону работает на шрамы от прыщей?,"У меня есть прыщи с тех пор, как я был подростком."
30,1,Extension from my last question. There's vaginal discharge too so ce I'm ovulating. Could that cause the itching?,Hey quick question. Is it normal to have itching during ovulation? Esp if there is a vaginal discharge?,1,extension last question vaginal discharge ovulate could cause itch,hey quick question normal itch ovulation esp vaginal discharge,113,103,66,62,Это может вызвать чесотку?,"Слушай, вопрос, это нормально - чешется во время овуляции, если есть влагалище?"
31,1,Extension from my last question. There's vaginal discharge too so ce I'm ovulating. Could that cause the itching?,"I have a white vaginal discharge for 2 days now, do I have an STD? Should I get an appointment?",0,extension last question vaginal discharge ovulate could cause itch,white vaginal discharge 2 day std get appointment,113,95,66,49,Это может вызвать чесотку?,"У меня белая вагинальная выписка на 2 дня, у меня есть ЗППП?"
32,1,Feeling frequent deja vu. I've had maybe 3 panic attack with in the past couple months that has left me a bit anxious and was wondering if it's that?,"Recurrent panic attacks, feeling of deja vu, anxiety. Lasting fora few months now. Is this something to worry about?",1,feel frequent deja vu maybe 3 panic attack past couple month leave bit anxious wonder,recurrent panic attack feel deja vu anxiety last fora month something worry,149,116,85,75,"Чувствую себя часто дежа-вю, у меня было три приступа паники за последние пару месяцев, что заставило меня немного волноваться и было интересно, так ли это?","Повторяющиеся панические приступы, чувство дежа ву, тревога."
33,1,Feeling frequent deja vu. I've had maybe 3 panic attack with in the past couple months that has left me a bit anxious and was wondering if it's that?,Why do I have anxiety when I go in an elevator?,0,feel frequent deja vu maybe 3 panic attack past couple month leave bit anxious wonder,anxiety go elevator,149,47,85,19,"Чувствую себя часто дежа-вю, у меня было три приступа паники за последние пару месяцев, что заставило меня немного волноваться и было интересно, так ли это?","Почему у меня беспокойство, когда я хожу в лифте?"
34,1,Have neck/back issues for months & had muscle cramps in calves. Stressed. Have (anxiety) BP is somewhat healthy. Yesterday felt tingly in both hands & shaky. In 20s .. Now it's off & on . Any ideas?,I have neck pain and fever. Is this meningitis?,0,neck back issue month muscle cramp calf stress anxiety bp somewhat healthy yesterday felt tingly hand shaky idea,neck pain fever meningitis,198,47,112,26,Были ли проблемы с шеей/затылкой в течение нескольких месяцев и мышечные спазмы в телятах. Стресс. (озабоченность) Давление в какой-то степени здорово. Вчера в обеих руках было покалывание. В 20-х.,У меня болит шея и жар.
35,1,Have neck/back issues for months & had muscle cramps in calves. Stressed. Have (anxiety) BP is somewhat healthy. Yesterday felt tingly in both hands & shaky. In 20s .. Now it's off & on . Any ideas?,"Previous medical issues: anxiety, stress, backache, neck pain, muscle cramps for months. Normal blood pressure. Is it normal to have some tingling in the hands?",1,neck back issue month muscle cramp calf stress anxiety bp somewhat healthy yesterday felt tingly hand shaky idea,previous medical issue anxiety stress backache neck pain muscle cramp month normal blood pressure normal tingle hand,198,160,112,116,Были ли проблемы с шеей/затылкой в течение нескольких месяцев и мышечные спазмы в телятах. Стресс. (озабоченность) Давление в какой-то степени здорово. Вчера в обеих руках было покалывание. В 20-х.,"Предыдущие медицинские проблемы: тревога, стресс, боль в спине, боль в шее, мышечные переломы в течение месяцев, нормальное кровяное давление, нормально ли покалывать руки?"
36,1,"Hello, I have had an ultra sound of the testicles and the inguinal area. No trace of hernia or adenopthy. The results came back completely normal. My doctor looked at it and felt it twice. He said it is definitely not a hernia and it is just slightly bigg",I had my routine appointment yesterday and my doctor said the swelling near the crotch is not hernia. Ultrasound did not show anything. Is it possible to still have hernia or lymph node swelling if the ultrasound is negative for it?,1,hello ultra sound testicles inguinal area trace hernia adenopthy result come back completely normal doctor look felt twice say definitely hernia slightly bigg,routine appointment yesterday doctor say swell near crotch hernia ultrasound show anything possible still hernia lymph node swell ultrasound negative,255,232,158,149,"Здравствуйте, у меня был ультразвук яичек и пахотной области, никаких следов грыжи или аденопти, результаты вернулись совершенно нормальными, мой доктор посмотрел на это и почувствовал дважды. Он сказал, что это определенно не грыжа и он просто немного большой","Вчера у меня была рутинная встреча, и мой врач сказал, что опухоль рядом с промежностью не грыжа. Ультразвук ничего не показал. Возможно ли, что грыжа или лимфатический узел будут опухать, если ультразвук отрицательный?"
37,1,"Hello, I have had an ultra sound of the testicles and the inguinal area. No trace of hernia or adenopthy. The results came back completely normal. My doctor looked at it and felt it twice. He said it is definitely not a hernia and it is just slightly bigg",What is the treatment for hernia repair? Is an ultrasound necessary for it? Asking for a friend.,0,hello ultra sound testicles inguinal area trace hernia adenopthy result come back completely normal doctor look felt twice say definitely hernia slightly bigg,treatment hernia repair ultrasound necessary ask friend,255,96,158,55,"Здравствуйте, у меня был ультразвук яичек и пахотной области, никаких следов грыжи или аденопти, результаты вернулись совершенно нормальными, мой доктор посмотрел на это и почувствовал дважды. Он сказал, что это определенно не грыжа и он просто немного большой",Каково лечение грыжи?
38,1,How can someone's happiness level affect someone's health?,Can staying happy improve my health? What specific steps should I take?,1,someone happiness level affect someone health,stay happy improve health specific step take,58,71,45,44,Как уровень счастья может повлиять на здоровье человека?,"Что мне делать, чтобы быть счастливым?"
39,1,How can someone's happiness level affect someone's health?,Hey following up on this. Doctor says the results are normal and it could be stress. Should I take another opinion?,0,someone happiness level affect someone health,hey follow doctor say result normal could stress take another opinion,58,115,45,69,Как уровень счастья может повлиять на здоровье человека?,"Доктор говорит, что результаты в норме, и это может быть стрессом."
40,1,How common is it to have physical anxiety symptoms without feeling anxious?,Breathing exercises are not helping with my anxiety. Should I go to the ER?,0,common physical anxiety symptom without feel anxious,breathe exercise help anxiety go,75,75,52,32,"Как часто бывают симптомы физического беспокойства, не вызывая беспокойства?",Дыхательные упражнения не помогут мне справиться с тревогой.
41,1,How common is it to have physical anxiety symptoms without feeling anxious?,I have tremors and chest pain. But I am not feeling anxious. Do you think that is normal?,1,common physical anxiety symptom without feel anxious,tremor chest pain feeling anxious think normal,75,89,52,46,"Как часто бывают симптомы физического беспокойства, не вызывая беспокойства?","У меня дрожь и боль в груди, но я не чувствую беспокойства."
42,1,How do add and ADHD differ?,Are ADD and ADHD the same? My sister is diagnosed with ADD. So looking out for some stuff to read through.,1,add adhd differ,add adhd sister diagnose add look stuff read,27,106,15,44,Как добавляются и СДВД?,"У моей сестры диагностирован АДД, поэтому присмотри за некоторыми вещами, чтобы прочесть."
43,1,How do add and ADHD differ?,What are the side effects of the treatment for ADHD?,0,add adhd differ,side effect treatment adhd,27,52,15,26,Как добавляются и СДВД?,Каковы побочные эффекты лечения СДГ?
44,1,How do I know if I have depression and anxiety?,Can CBT be used to treat anxiety?,0,know depression anxiety,cbt use treat anxiety,47,33,23,21,"Откуда мне знать, что у меня депрессия и беспокойство?",Можно ли использовать КБТ для лечения беспокойства?
45,1,How do I know if I have depression and anxiety?,What are the symptoms of depression and anxiety?,1,know depression anxiety,symptom depression anxiety,47,48,23,26,"Откуда мне знать, что у меня депрессия и беспокойство?",Каковы симптомы депрессии и беспокойства?
46,1,How long does it take for herpes to break out?,Can using condoms prevent transmission of herpes? I have a bump on the corner of my lip and I am a little worried. A little help please?,0,long take herpes break,use condom prevent transmission herpes bump corner lip little worried little help please,46,136,22,88,"Сколько времени нужно герпесу, чтобы сбежать?","Можете ли вы использовать презервативы, чтобы предотвратить передачу герпеса?"
47,1,How long does it take for herpes to break out?,I had unprotected sex on the 7th of this month. Is there a specific time that the first outbreak occurs?,1,long take herpes break,unprotected sex month specific time first outbreak occurs,46,104,22,57,"Сколько времени нужно герпесу, чтобы сбежать?",У меня был незащищенный секс 7-го числа этого месяца.
48,1,How many tylenol (acetaminophen) 3's are equal to  a percocet?,I am allergic to Percocet. What else can the doctor prescribe me for my pain? Not sure if Tylenol would do the trick.,0,many tylenol acetaminophen 3 equal percocet,allergic percocet else doctor prescribe pain sure tylenol would trick,62,117,43,69,Сколько тиренола (ацеминофенов) 3 равно перкоцету?,"У меня аллергия на Перкоце, что еще доктор может выписать мне за боль?"
49,1,How many tylenol (acetaminophen) 3's are equal to  a percocet?,"I am out of Percocet, how many Tylenol pills should I take to give a similar amount of pain relief?",1,many tylenol acetaminophen 3 equal percocet,percocet many tylenol pill take give similar amount pain relief,62,99,43,63,Сколько тиренола (ацеминофенов) 3 равно перкоцету?,"У меня нет Перкоцета, сколько таблеток тайленола я должен принять, чтобы облегчить боль?"
50,1,How much time off work do I take after an ACL reconstruction?,I need ACL reconstructive surgery. What is the recovery process like? How much time should I take off?,1,much time work take acl reconstruction,need acl reconstructive surgery recovery process like much time take,61,102,38,68,Сколько времени я отлучу от работы после реконструкции АКП?,Мне нужна реконструктивная операция.
51,1,How much time off work do I take after an ACL reconstruction?,I twisted my knee at work and it is very swollen but I can walk on it. Could I have torn my ACL?,0,much time work take acl reconstruction,twisted knee work swollen walk could tear acl,61,96,38,45,Сколько времени я отлучу от работы после реконструкции АКП?,"Я перевернул колено на работе, и он очень опух, но я могу ходить по нему."
52,1,How should the drug methotrexate affect the cells of the body regarding treatment of arthritis?,I fell down 2 months back and my knee is swollen even now. Is this arthritis?,0,drug methotrexate affect cell body regard treatment arthritis,fell 2 month back knee swell even arthritis,95,77,61,43,"Как метотрексат должен влиять на клетки тела в том, что касается лечения артрита?","Я упал два месяца назад, и у меня даже колено опухло."
53,1,How should the drug methotrexate affect the cells of the body regarding treatment of arthritis?,I have arthritis and have been prescribed with Methotrexate. How does it work? How long will it take to show its effects?,1,drug methotrexate affect cell body regard treatment arthritis,arthritis prescribe methotrexate work long take show effect,95,121,61,59,"Как метотрексат должен влиять на клетки тела в том, что касается лечения артрита?","У меня артрит и мне прописывают Метотрексат. Как он работает? Сколько времени займет, чтобы показать его эффект?"
54,1,How to deal with someone acting childish?,My girlfriend is giving me a hard time. She throws tantrums literally every time we go out. It is embarassing. What do I do to make her see this?,1,deal someone act childish,girlfriend give hard time throw tantrum literally every time go embarassing make see,41,145,25,84,"Как справиться с кем-то, кто ведет себя как ребенок?","Моя подружка мне не нравится, она бросает истерику буквально каждый раз, когда мы выходим на улицу, это смущает, что я делаю, чтобы заставить ее это увидеть?"
55,1,How to deal with someone acting childish?,What are the different types of personalities? Is being immature one of them?,0,deal someone act childish,different type personality immature one,41,77,25,39,"Как справиться с кем-то, кто ведет себя как ребенок?",Что за разные типы личности?
56,1,How to tell what I am having an allergic reaction to?,Can Benadryl help with an itching?,0,tell allergic reaction,benadryl help itching,53,34,22,21,"Как сказать, на что у меня аллергическая реакция?",Бенадрил может помочь с чесанием?
57,1,How to tell what I am having an allergic reaction to?,I have no idea what's causing these bumps on my body. Is there a specific test that can detect this?,1,tell allergic reaction,idea cause bump body specific test detect,53,100,22,41,"Как сказать, на что у меня аллергическая реакция?","Я понятия не имею, что вызывает эти удары по моему телу."
58,1,I am currently on minocin (minocycline) to treat my acne but I think I am getting itchy hives?,Is hives a common side effect of Minocin? Not sure if this redness is something I should be concerned about?,1,currently minocin minocycline treat acne think get itchy hive,hive common side effect minocin sure redness something concerned,94,108,61,64,"Я сейчас на миноцине (миноциклине), чтобы лечить прыщи, но я думаю, что у меня чешется улья?",Разве ульи - это общий побочный эффект Миноцина?
59,1,I am currently on minocin (minocycline) to treat my acne but I think I am getting itchy hives?,What can I use for hives on my arm? Is Benadryl okay while taking antibiotics?,0,currently minocin minocycline treat acne think get itchy hive,use hive arm benadryl okay take antibiotic,94,78,61,42,"Я сейчас на миноцине (миноциклине), чтобы лечить прыщи, но я думаю, что у меня чешется улья?",Что я могу использовать для улья на руке?
60,1,"If I had hepatitis a, does that mean I can't drink alcohol for a certain number of weeks afterwards?",Can Hep A spread via sharing cigarettes or alcohol bottoes of an infected person?,0,hepatitis mean drink alcohol certain number week afterwards,hep spread via share cigarette alcohol bottoes infect person,100,81,59,60,"Если бы у меня был гепатит а, значит ли это, что я не могу пить алкоголь в течение определенного количества недель после этого?",Может ли Хеп А распространяться через совместное использование сигарет или спиртных ботов инфицированного человека?
61,1,"If I had hepatitis a, does that mean I can't drink alcohol for a certain number of weeks afterwards?",How soon can I drink alcohol after being tested positive for Hep A?,1,hepatitis mean drink alcohol certain number week afterwards,soon drink alcohol test positive hep,100,67,59,36,"Если бы у меня был гепатит а, значит ли это, что я не могу пить алкоголь в течение определенного количества недель после этого?","Как скоро я смогу выпить алкоголь после того, как мне дали положительный тест на гепатит А?"
62,1,I get one or two acne errupting each month.How do I prevent them?Also the acne leaves scars on my skin. Is there any off the shelf product i could try,I have a healed scar on my leg. Would lemon juice help with it?,0,get one two acne errupting month prevent acne leave scar skin shelf product could try,heal scar leg would lemon juice help,150,63,85,36,"Каждый месяц я получаю один или два пряника, ошибаясь. Как мне их предотвратить? Кроме того, пряник оставляет шрамы на моей коже. Есть ли какой-нибудь продукт с полки я могу попробовать","У меня на ноге зажил шрам, поможет лимонный сок?"
63,1,I get one or two acne errupting each month.How do I prevent them?Also the acne leaves scars on my skin. Is there any off the shelf product i could try,What are some home remedies I can use for scars on my face. I have been struggling with acne for quite some time now. :( ,1,get one two acne errupting month prevent acne leave scar skin shelf product could try,home remedy use scar face struggle acne quite time,150,121,85,50,"Каждый месяц я получаю один или два пряника, ошибаясь. Как мне их предотвратить? Кроме того, пряник оставляет шрамы на моей коже. Есть ли какой-нибудь продукт с полки я могу попробовать",Какие домашние средства я могу использовать для шрамов на лице. Я уже довольно долго борюсь с прыщами.
64,1,"I got my period twice within 3 weeks, for the second time within 4 months. Why? I haven't been stressed or changed my exercise plan or diet recently..",Can birth control shot cause your period to become irregular? I have spotting and I'm not sure if it is related.,0,get period twice within 3 week second time within 4 month stress change exercise plan diet recently,birth control shot cause period become irregular spotting sure relate,150,112,99,69,"У меня были месячные два раза в течение трех недель, второй раз в течение четырех месяцев.","У меня есть данные, и я не уверена, что это связано."
65,1,"I got my period twice within 3 weeks, for the second time within 4 months. Why? I haven't been stressed or changed my exercise plan or diet recently..","I am a 19 y/o woman who regularly exercises and has a balanced diet. I take multivitamins too. Not sexually active, not on any medications. Lately, my period has been more frequent. This is the 4th month since when it started. I'm a little worried.",1,get period twice within 3 week second time within 4 month stress change exercise plan diet recently,19 woman regularly exercise balance diet take multivitamin sexually active medication lately period frequent month since start little worried,150,248,99,141,"У меня были месячные два раза в течение трех недель, второй раз в течение четырех месяцев.","Я - 19 женщин, которые регулярно тренируются и имеют сбалансированную диету, я тоже принимаю мультивитамины, не сексуально активные, не при помощи каких-либо лекарств. В последнее время мой период был более частым. Это четвертый месяц с того момента, как он начался. Я немного волнуюсь."
66,1,"I had arthroscopic surgery on my left knee almost a month ago but it seems to be filling up with synovial fluid, shoulde i go back to work or wait until i see the dr.?",How much does it cost to get an arthroscopic knee surgery done? ,0,arthroscopic surgery leave knee almost month ago seem fill synovial fluid shoulde go back work wait see dr,much cost get arthroscopic knee surgery do,167,64,106,42,"У меня была артроскопическая операция на левом колене почти месяц назад, но, похоже, она заполняется синовиальной жидкостью, мне вернуться на работу или подождать, пока я не увижу доктора?",Сколько стоит сделать артроскопическую операцию на колене?
67,1,"I had arthroscopic surgery on my left knee almost a month ago but it seems to be filling up with synovial fluid, shoulde i go back to work or wait until i see the dr.?","How soon can I go to work after an arthroscopic knee surgery? Also, how long does the swelling last? Mine seems to be swelling more and more everyday. :(",1,arthroscopic surgery leave knee almost month ago seem fill synovial fluid shoulde go back work wait see dr,soon go work arthroscopic knee surgery long swell last mine seem swell everyday,167,153,106,79,"У меня была артроскопическая операция на левом колене почти месяц назад, но, похоже, она заполняется синовиальной жидкостью, мне вернуться на работу или подождать, пока я не увижу доктора?","Как скоро я смогу пойти на работу после операции на артроскопическом колене? А также, как долго будет длиться опухоль? Мой, кажется, все больше и больше опухает каждый день."
68,1,I have tinea versicolor in the testicles and tip of penis. It gets itchy and dry. The doctor sent me a salycilic acid wash. Makes sense?,I have itchy and dry discolored patches on the penis and testicles. Doctor thinks it is fungal infection (tinea) and prescribed with CeraVe’s Salicylic Acid Cleanser. Will it work?,1,tinea versicolor testicle tip penis get itchy dry doctor send salycilic acid wash make sense,itchy dry discolor patch penis testicle doctor thinks fungal infection tinea prescribe ceraves salicylic acid cleanser work,136,180,92,123,"У меня вериколор в яичках и наконечник пениса, он чешется и сух, доктор прислал мне сальциловую кислоту.","У меня на пенисе и яичках чешется и обесцвечивается сухая пятна, доктор считает, что это грибковая инфекция (тинея) и прописано с помощью салициличной кислой чистильщицы."
